Candor Chaos,-6.94,287.42,0.00,3396200.00,AA
Candor Chasma,-6.53,289.22,810610.00,3396200.00,AA
Candor Colles,-6.63,284.43,37380.00,3396200.00,AA
Candor Labes,-4.79,284.01,134940.00,3396200.00,AA
Candor Mensa,-6.26,286.48,116560.00,3396200.00,AA
Candor Sulci,-4.92,283.15,73360.00,3396200.00,AA
Cangwu,41.85,270.41,13640.00,3396200.00,AA
Canillo,10.23,116.48,33930.00,3396200.00,AA
Cankuzo,-19.42,52.03,48450.00,3396200.00,AA
Canso,21.36,299.38,26420.00,3396200.00,AA
Cantoura,14.84,308.28,51590.00,3396200.00,AA
Capen,6.58,14.31,68990.00,3396200.00,AA
Capri Chasma,-8.27,317.93,1471560.00,3396200.00,AA
Capri Mensa,-13.73,312.81,282350.00,3396200.00,AA
Cartago,-23.25,342.03,36570.00,3396200.00,AA
Casius,39.67,100.00,0.00,3396200.00,AA
Cassini,23.35,32.11,408230.00,3396200.00,AA
Castril,-14.70,175.30,2190.00,3396200.00,AA
Cave,21.61,324.36,8200.00,3396200.00,AA
Cavi Angusti,-78.16,285.25,640040.00,3396200.00,AA
[Cavi Frigores],-78.97,300.20,228000.00,3396200.00,AA
[Cavi Novi],-67.26,30.00,535000.00,3396200.00,AA
Caxias,-28.95,259.32,25880.00,3396200.00,AA
Cayon,-35.93,113.62,27310.00,3396200.00,AA
Cebrenia,49.67,150.00,0.00,3396200.00,AA
Cecropia,59.71,40.00,0.00,3396200.00,AA
Cefalù,23.64,321.11,5530.00,3396200.00,AA
Centauri Montes,-38.67,95.52,271000.00,3396200.00,AA
Ceraunius,19.78,267.00,0.00,3396200.00,AA
Ceraunius Catena,37.10,251.91,50490.00,3396200.00,AA
Ceraunius Fossae,27.00,249.85,1166630.00,3396200.00,ME
Ceraunius Tholus,24.00,262.75,128580.00,3396200.00,AA
Cerberus,14.83,155.00,0.00,3396200.00,AA
Cerberus Dorsa,-13.74,105.29,623050.00,3396200.00,AA
Cerberus Fossae,11.28,166.37,1235000.00,3396200.00,ME
Cerberus Palus,5.78,148.15,466680.00,3396200.00,AA
[Cerberus Rupes],8.30,164.60,1254000.00,3396200.00,AA
Cerberus Tholi,4.48,164.41,698000.00,3396200.00,AA
Cerulli,32.20,22.12,114280.00,3396200.00,AA
Ceti Chasma,-5.03,291.63,49770.00,3396200.00,AA
Ceti Labes,-6.78,284.27,11050.00,3396200.00,AA
Ceti Mensa,-5.89,283.98,133950.00,3396200.00,AA
Chafe,15.10,102.41,4670.00,3396200.00,AA
Chalce,-49.67,360.00,0.00,3396200.00,AA
Chalce Fossa,-51.67,320.41,33970.00,3396200.00,AA
Chalce Montes,-53.72,322.35,100000.00,3396200.00,AA
Chalcoporos Rupes,-55.64,20.57,404980.00,3396200.00,AA
Chaman,-60.86,50.96,47920.00,3396200.00,AA
Chamberlin,-65.84,235.71,120250.00,3396200.00,AA
Changsŏng,23.47,302.66,33540.00,3396200.00,AA
Chapais,-22.35,339.45,36670.00,3396200.00,AA
Charis Dorsum,-55.86,318.53,251000.00,3396200.00,AA
Charitum Montes,-58.10,319.71,933540.00,3396200.00,AA
[Charitum Tholus],-54.68,319.00,0.00,3396200.00,AA
Charleston,22.63,312.20,1960.00,3396200.00,AA
Charlier,-68.56,191.53,106280.00,3396200.00,AA
Charlieu,38.15,276.01,18630.00,3396200.00,AA
Charybdis Scopulus,-24.14,20.08,551260.00,3396200.00,AA
Chasma Australe,-82.35,95.03,352610.00,3396200.00,AA
Chasma Boreale,82.54,312.36,459880.00,3396200.00,AA
Chatturat,35.38,265.06,7840.00,3396200.00,AA
Chauk,23.35,304.09,9970.00,3396200.00,AA
Cheb,-24.20,340.56,8280.00,3396200.00,AA
Chefu,-22.91,112.24,11270.00,3396200.00,AA
Chekalin,-24.28,333.19,87780.00,3396200.00,AA
Chersonesus,-49.67,100.00,0.00,3396200.00,AA
Chia,1.57,300.35,91910.00,3396200.00,AA
Chico Valles,-66.77,207.77,446350.00,3396200.00,ME
Chimbote,-1.42,320.32,62860.00,3396200.00,AA
Chincoteague,41.20,124.12,34030.00,3396200.00,AA
Chinju,-4.52,317.86,65710.00,3396200.00,AA
Chinook,22.50,304.54,18100.00,3396200.00,AA
Chive,21.68,303.99,9100.00,3396200.00,AA
Choctaw,-41.19,322.76,23960.00,3396200.00,AA
Chom,38.57,357.48,5580.00,3396200.00,AA
Chronius Mons,-61.49,178.01,56140.00,3396200.00,MO
Chryse,9.88,330.00,0.00,3396200.00,AA
Chryse Chaos,9.86,322.81,658890.00,3396200.00,AA
Chryse Colles,8.15,318.14,48660.00,3396200.00,AA
Chryse Planitia,28.43,319.69,1542440.00,3396200.00,ME
Chrysokeras,-49.67,250.00,0.00,3396200.00,AA
Chupadero,6.13,83.43,8040.00,3396200.00,AA
Chur,16.93,330.69,4390.00,3396200.00,AA
Circle,-22.17,334.47,11800.00,3396200.00,AA
Clanis Valles,33.24,58.47,58000.00,3396200.00,ME
Claritas,-34.68,250.00,0.00,3396200.00,AA
Claritas Fossae,-27.89,255.76,2030640.00,3396200.00,ME
Claritas Rupes,-25.04,254.74,952870.00,3396200.00,AA
Clark,-55.14,226.80,97500.00,3396200.00,AA
Clasia Vallis,33.77,57.04,147000.00,3396200.00,ME
Cleia Dorsum,-54.86,314.01,131690.00,3396200.00,AA
